benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-2 minus Closure,allocation,3,381268,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,2491bada11c874bc1d539b2740ed3fb6ef2bec87b58c1a30d82cddf678480061,1,146,0.012884307,0.012884307,5148,14806672,,0
SBPF-program,Stage-2 minus Borrow,allocation,3,381270,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9e0f64551fd2b56f47168bd3205ab9203dc83faa16504b88e721b68ab16fd9fe,1,146,0.139656208,0.139656208,5504,137105648,,0
SBPF-instruction,Stage-2 minus Last-Use,runtime,3,381272,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,510300ba8a8243b96fc87c8d02f67903d0ed985519cc06513f2b38f4fa5b4b11,2,12000,5.614751762,2.807375881,24452,0,,0
SBPF-instruction,Stage-2 Full,runtime,3,381294,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,991698e0cabaefdee6f4be1097e7762af6fe3332acd5f66e5736ab08ebd22b92,63,378000,5.612182325,0.089082259,24564,0,,0
SBPF-instruction,Stage-2 minus Closure,runtime,3,381318,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,8b7a730510e934b0e2212bc8bcab43f2ff0e2045813eeea927b570b40358e5ce,63,378000,5.948559794,0.094421584,24500,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,3,381332,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,e6529598aafd8fdcf98951a0043ec22a020c7913cbbeb1040d2bae64bd203ebf,39,234000,6.379263871,0.163570868,24500,0,,0
SBPF-instruction,Stage-2 minus Last-Use,allocation,3,381358,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,11b28ff71ff818ef19ca734a6b487b6b5ebb9cb121f9c6ccef8b4ff3952051bb,1,6000,3.170118207,3.170118207,24512,3500575552,,0
SBPF-instruction,Stage-2 Full,allocation,3,381366,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ece986d024fa99eb7846dadbb27627863b378dc435d7c5689d09ffe36f22b26d,1,6000,0.098887975,0.098887975,24424,131129856,,0
SBPF-instruction,Stage-2 minus Closure,allocation,3,381368,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,90ee50b6454592449d3e8f6c8c48250d78c418b8afb76ad147fcd3ed878dcdab,1,6000,0.116733295,0.116733295,24500,131129856,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,3,381370,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,1e0336ebebb610416affd1c60a079cfa2f93b831df1c9142c74a7850ca01821b,1,6000,0.204986427,0.204986427,24508,218360768,,0
SBPF-program,OCaml baseline,runtime,1,18826,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,05a1eb687b8b3bb051cde39eb862c54d48e3f7e54f40db38db4f8667d28b32e1,35,5110,5.291275710,0.151179306,9760,0,,0
SBPF-program,OCaml baseline,allocation,1,18856,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,05a1eb687b8b3bb051cde39eb862c54d48e3f7e54f40db38db4f8667d28b32e1,1,146,0.000000000,0.000000000,9048,388769736,,0
SBPF-instruction,OCaml baseline,runtime,1,18858,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,5,30000,5.509103824,1.101820765,39488,0,,0
SBPF-instruction,OCaml baseline,allocation,1,18882,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,1,6000,0.000000000,0.000000000,39648,1814669088,,0
SBPF-program,OCaml baseline,runtime,2,18890,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,05a1eb687b8b3bb051cde39eb862c54d48e3f7e54f40db38db4f8667d28b32e1,35,5110,5.179877131,0.147996489,9852,0,,0
SBPF-program,OCaml baseline,allocation,2,18920,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,05a1eb687b8b3bb051cde39eb862c54d48e3f7e54f40db38db4f8667d28b32e1,1,146,0.000000000,0.000000000,8996,388769736,,0
