stage,group,source,manifest,crate_tree_sha256,hashed_files,clippy_exit_status,diagnostic_count
stage2,Unit,test/unit/mapping/ArithmeticNat_Test.thy,test/unit/mapping/stage2/ArithmeticNat_Test/export1/Cargo.toml,b69d5f9626f0086fcdf4a5778a0aeefab6fffbb5ec8c4ccbf038ead6c41ccd88,5,0,0
stage2,Unit,test/unit/mapping/ArithmeticPeano_Test.thy,test/unit/mapping/stage2/ArithmeticPeano_Test/export1/Cargo.toml,68527c6e95a4dcf78b79063a6713678c5d3f95f1a556311390e983521a1d0865,5,0,0
stage2,Unit,test/unit/mapping/Booleans_Test.thy,test/unit/mapping/stage2/Booleans_Test/export1/Cargo.toml,e9ee55bc9723b3a3c6c29b458a71e7b1fe6d6761bda1ee9134f100085bf08769,4,0,0
stage2,Unit,test/unit/mapping/Lists_Test.thy,test/unit/mapping/stage2/Lists_Test/export1/Cargo.toml,e4a97d399e67ebea13fe05382be1dc5bc9073863f4b407a4c911753a8d58f0ff,6,0,0
stage2,Unit,test/unit/mapping/Sets_Test.thy,test/unit/mapping/stage2/Sets_Test/export1/Cargo.toml,e80176622cc484068e5c9a9cb89612028151b91435fbf8ad7fa02637065eb3fd,9,0,0
stage2,Unit,test/unit/mapping/Tuples_Test.thy,test/unit/mapping/stage2/Tuples_Test/export1/Cargo.toml,70f342e7add10e94544fde0f31e928d07f093c8cbba1cea112c8633dc29acad8,5,0,0
stage2,Unit,test/unit/mapping/WordBigInt_Test.thy,test/unit/mapping/stage2/WordBigInt_Test/export1/Cargo.toml,125a1c93cfd2902955d715459cb35b08b6c48112776fbaa0b366fbb72dda7650,7,0,0
stage2,Unit,test/unit/mapping/WordChecked128_Test.thy,test/unit/mapping/stage2/WordChecked128_Test/export1/Cargo.toml,9fb4bbf18630d49f9b686038dea52f9720a9db8384f4dfa2156cc9695f2fad1d,8,0,0
stage2,Unit,test/unit/optimization/BorrowCalls_Test.thy,test/unit/optimization/stage2/BorrowCalls_Test/export1/Cargo.toml,741a215f22d7a125d360fab7fc0b0bb764ecf7c9b7ce3847c794459813bc300d,5,0,0
stage2,Unit,test/unit/optimization/BorrowDemand_Test.thy,test/unit/optimization/stage2/BorrowDemand_Test/export1/Cargo.toml,96c031b129facbc1bcc82bf21de834f033ea598a3730f2c2c8152d2a05a4ad12,4,0,0
stage2,Unit,test/unit/optimization/BorrowGlobal_Test.thy,test/unit/optimization/stage2/BorrowGlobal_Test/export1/Cargo.toml,89290c199b49d41b0d8b6b5a846631ad45c1287486f22da4ab4dd9348494f412,6,0,0
stage2,Unit,test/unit/optimization/Copy_Test.thy,test/unit/optimization/stage2/Copy_Test/export1/Cargo.toml,0269c1f29b11f6fc0ae786d44261c2e0161dc85a47e66cf9400e0ec1c6fc1582,5,0,0
stage2,Unit,test/unit/optimization/CopyCalls_Test.thy,test/unit/optimization/stage2/CopyCalls_Test/export1/Cargo.toml,32d7b0490eae6902600092b1a80708c4d69669a18cb283924922aa92d340790f,7,0,0
